SiteName,SiteID,ReleaseDate,ReleaseTime,gNaCl,gCLeachate,MinFrom0,SampleDate,SampleTime,SpC.us.cm,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,NOTES
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:49:00,659,7.85,NotEntered,U020,70,70,D2113,A086,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:52:00,661,7.86,NotEntered,U025,70,70,NA,A016,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:55:00,663,7.86,NotEntered,U036,70,70,D1292,A078,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:58:00,666,7.87,NotEntered,U031,70,70,NA,A079,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:01:00,669,7.87,NotEntered,U033,70,70,D1323,A090,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:04:06,672,7.88,NotEntered,U035,70,70,NA,A102,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:07:05,675,7.89,NotEntered,U022,70,70,D1343,A091,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:10:05,678,7.89,NotEntered,U010,70,70,NA,A114,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:13:00,680,7.9,NotEntered,U008,70,70,D1230,A126,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:16:00,682,7.9,NotEntered,U017,70,70,NA,A103,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:21:00,685,7.91,NotEntered,U045,70,70,D1338,A104,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:26:05,686,7.92,NotEntered,U009,70,70,NA,A115,closed stopcock wrong way when adding headspace
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:36:00,687,7.94,NotEntered,U013,70,70,D2261,A080,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:46:00,687,7.96,NotEntered,U018,70,70,NA,A092,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:56:00,682,7.98,NotEntered,U012,70,70,D1212,A127,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:16:00,668,8.01,NotEntered,U001,70,70,NA,A128,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:36:00,657,8.02,NotEntered,U004,70,70,D1211,A139,see field book RE: cond jump
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:56:00,673,8.04,NotEntered,U015,70,70,NA,A093,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:16:00,668,8.05,NotEntered,U002,70,70,D2016,A081,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:36:00,664,8.06,NotEntered,U005,70,70,NA,A105,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:56:00,659,8.08,NotEntered,U011,70,70,D1311,A117,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,16:00:00,651,8.1,NotEntered,U019,70,70,D2347,A116,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,18:50:30,689,NA,NotEntered,U007,70,70,D2356,A141,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,21:05:35,699,NA,15.5,VT045,70,70,NA,A129,stopcock sucks
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/10/19,8:59:15,702,NA,13.4,U008,70,70,NA,A144,double-check DOC ID
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/10/19,16:55:00,NA,NA,NA,U033,70,70,NA,A140,sample time is rough estimate
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:18:00,702,NA,NotEntered,U040,70,70,D2306,A053,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:18:00,702,NA,NotEntered,U041,70,70,NA,A028,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:25:00,701,NA,NotEntered,U046,70,70,NA,A066,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:30:00,702,NA,NotEntered,U039,70,70,NA,A133,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:40:00,702,NA,NotEntered,U032,70,70,D2330,A134,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:45:00,702,NA,NotEntered,U043,70,70,NA,A087,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:49:00,701,NA,NotEntered,U048,70,70,NA,A099,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:52:00,702,NA,NotEntered,U047,70,70,D1179,A111,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:55:10,704,NA,NotEntered,U050,70,70,NA,A123,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,10:58:00,705,NA,NotEntered,U027,70,70,NA,A135,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:01:00,716,NA,NotEntered,U049,70,70,D1264,A124,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:04:00,725,NA,NotEntered,U032,70,70,NA,A136,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:07:00,737,NA,NotEntered,U042,70,70,NA,A112,"Found open to atm, added hs and ran, but may need to toss"
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:10:00,750,NA,NotEntered,U044,70,70,D1290,A100,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:13:00,763,NA,NotEntered,U038,70,70,NA,A088,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:16:00,773,NA,NotEntered,VT036,70,70,D2268,A076,ALK AT 11:17:10
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:19:00,776,NA,NotEntered,VT010,70,70,NA,A137,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:22:00,780,NA,NotEntered,VT031,70,70,D1341,A125,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:25:00,785,NA,NotEntered,VT035,70,70,NA,A113,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:28:00,786,NA,NotEntered,VT041,70,70,D1322,A101,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:31:00,787,NA,NotEntered,VT046,70,70,NA,A089,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:35:00,786,NA,NotEntered,VT050,70,70,D1887,A077,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:40:00,782,NA,NotEntered,VT042,70,70,NA,A138,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:50:00,772,NA,NotEntered,VT026,70,70,NA,A122,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:45:00,777,NA,NotEntered,VT021,70,70,D1217,A098,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:55:00,766,NA,NotEntered,VT009,70,70,D1325,A121,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:01:00,759,NA,NotEntered,VT047,70,70,NA,A110,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:05:00,755,NA,NotEntered,VT024,70,70,NA,A004,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:10:00,750,NA,NotEntered,VT013,70,70,D1297,A109,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:15:00,746,NA,NotEntered,VT025,70,70,NA,A085,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:20:00,742,NA,NotEntered,VT027,70,70,D1348,A097,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:30:00,735,NA,NotEntered,VT017,70,70,NA,A041,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:40:00,728,NA,NotEntered,VT043,70,70,D1189,A075,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:50:00,722,NA,NotEntered,VT028,70,70,NA,A073,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:00:00,718,NA,NotEntered,VT040,70,70,NA,A025,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:20:00,713,NA,NotEntered,VT034,70,70,D1879,A082,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:40:00,708,NA,NotEntered,VT011,70,70,NA,A083,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:00:00,705,NA,NotEntered,VT029,70,70,NA,A084,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:30:00,700,NA,NotEntered,VT001,70,70,NA,A094,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,15:00:00,NA,NA,NotEntered,VT033,70,70,D1310,A095,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,16:00:00,NA,NA,NotEntered,VT007,70,70,D2084,A096,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,18:47:20,694,NA,15.5,U003,70,70,D1307,A132,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,21:03:10,702,NA,14.6,U016,70,70,NA,A142,NA
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/10/19,9:01:15,703,NA,12.9,U006,70,70,NA,A118,sealed w/ gum on drive home before transfer into syring with stopcock
Creston,Up,8/9/19,10:15:00,400.00,88.00,NA,8/10/19,16:55:00,NA,NA,NA,U005,70,70,NA,A131,sample time is rough estimate
