,SiteName,SiteID,Date,ReleaseTime0,MinFrom0,SampleTime,SpC.us.cm,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,NOTES,DOC_conc,Delta 13C
28,Creston,Up,8/8/2019,10:11:00,NA,12:41:00,NA,NA,NA,M024,70,70,D2216,A035,NA,5.08,112.489
29,Creston,Up,8/8/2019,10:11:00,NA,12:51:00,NA,NA,NA,M005,70,70,NA,A033,NA,6.13,65.094
30,Creston,Up,8/8/2019,10:11:00,NA,13:01:00,NA,NA,NA,M029,70,70,NA,A047,NA,5.55,56.034
31,Creston,Up,8/8/2019,10:11:00,NA,13:11:00,NA,NA,NA,M015,70,70,NA,A012,NA,5.2,47.306
32,Creston,Up,8/8/2019,10:11:00,NA,13:21:00,NA,NA,NA,M013,70,70,D2346,A024,NA,4.59,32.589
33,Creston,Up,8/8/2019,10:11:00,NA,13:31:00,NA,NA,NA,M006,70,70,NA,A036,NA,4.8,21.672
34,Creston,Up,8/8/2019,10:11:00,NA,13:41:00,NA,NA,NA,M026,70,70,NA,A068,NA,3.57,29.29
35,Creston,Up,8/8/2019,10:11:00,NA,13:51:00,NA,NA,NA,M028,70,70,D1198,A010,NA,5.14,3.914
36,Creston,Above0,8/8/2019,10:11:00,NA,12:16:00,NA,NA,NA,M030,70,70,NA,NA,"""048"" written next to field notes entry",NA,NA
37,Creston,Down,8/8/2019,10:11:00,NA,11:26:00,643,7.98,NA,VT019,70,70,D1203,A027,NA,NA,NA
38,Creston,Down,8/8/2019,10:11:00,NA,11:31:00,645,7.99,NA,VT021,70,70,D2328,A061,NA,NA,NA
39,Creston,Down,8/8/2019,10:11:00,NA,11:36:00,648,8,NA,VT009,70,70,NA,A040,NA,NA,NA
40,Creston,Down,8/8/2019,10:11:00,NA,11:41:00,654,8,NA,VT029,70,70,NA,A037,NA,NA,NA
41,Creston,Down,8/8/2019,10:11:00,NA,11:44:00,658,8.01,NA,VT048,70,70,D1302,A063,NA,NA,NA
42,Creston,Down,8/8/2019,10:11:00,NA,11:47:00,665,8.01,NA,VT006,70,70,NA,A049,NA,NA,NA
43,Creston,Down,8/8/2019,10:11:00,NA,11:50:00,669,8.01,NA,VT004,70,70,D2294,A013,NA,NA,NA
44,Creston,Down,8/8/2019,10:11:00,NA,11:53:00,673,8.01,NA,VT011,70,70,NA,A001,NA,2.12,310.074
45,Creston,Down,8/8/2019,10:11:00,NA,11:56:00,678,8.02,NA,VT017,70,70,D1336,A050,NA,2.12,353.319
46,Creston,Down,8/8/2019,10:11:00,NA,11:59:00,681,8.02,NA,VT046,70,70,NA,A052,NA,2.15,442.461
47,Creston,Down,8/8/2019,10:11:00,NA,12:02:00,685,8.02,NA,NA,70,70,D1176,NA,CO2 sample missing,NA,NA
48,Creston,Down,8/8/2019,10:11:00,NA,12:06:15,690,8.03,NA,VT024,70,70,NA,A062,NA,2.53,416.344
49,Creston,Down,8/8/2019,10:11:00,NA,12:11:00,693,8.04,NA,VT001,70,80,D1300,A051,10mL extra air,NA,NA
50,Creston,Down,8/8/2019,10:11:00,NA,12:16:00,695,8.04,NA,VT047,70,70,NA,A003,NA,NA,NA
51,Creston,Down,8/8/2019,10:11:00,NA,12:25:00,695,8.05,NA,VT026,70,70,D2102,A017,NA,2,441.298
52,Creston,Down,8/8/2019,10:11:00,NA,12:30:00,695,8.05,NA,VT002,70,70,NA,A005,NA,2.01,354.502
53,Creston,Down,8/8/2019,10:11:00,NA,12:40:00,692,8.07,NA,VT043,70,70,D1200,A006,NA,2.09,247.357
54,Creston,Down,8/8/2019,10:11:00,NA,12:50:00,687,8.08,NA,VT041,70,70,NA,A039,NA,2.11,197.013
55,Creston,Down,8/8/2019,10:11:00,NA,13:00:00,682,8.1,NA,VT003,70,70,D1249,A018,NA,2.12,97.316
56,Creston,Down,8/8/2019,10:11:00,NA,13:20:30,669,8.12,NA,VT015,70,70,D2249,A030,NA,NA,NA
57,Creston,Down,8/8/2019,10:11:00,NA,13:40:00,659,8.14,NA,VT022,70,70,D1235,A002,NA,NA,NA
58,Creston,Down,8/8/2019,10:11:00,NA,14:00:00,652,8.12,NA,VT042,70,70,NA,A014,NA,NA,NA
59,Creston,Down,8/8/2019,10:11:00,NA,14:20:30,646,8.14,NA,VT027,70,70,D1250,A026,NA,NA,NA
60,Creston,Down,8/8/2019,10:11:00,NA,14:40:00,640,8.16,NA,VT035,70,70,NA,A015,NA,NA,NA
61,Creston,Down,8/8/2019,10:11:00,NA,15:00:00,635,8.16,NA,VT032,70,70,D1245,A038,NA,NA,NA
