"","dtime","bela_co2_flux","C.mod.flux","NEP_gC","DIC_pred","DIC_sat","oxy","oxysat","bela_co2_conc","bela_co2_sat"
"468",2019-08-13 09:50:00,2.6216730846099,0.106229794951781,2.41461594833789,5.3751848485387,5.13215575002784,9.607,9.75353559582244,1.25966721888366,0.0151476001185235
"469",2019-08-13 10:00:00,2.56196919485665,0.0594643314627051,2.70731273970379,5.371922916075,5.13098396449537,9.817,9.71781212255356,1.22956064394231,0.0150650148301165
"470",2019-08-13 10:10:00,2.49482281682587,0.0204404911111411,2.99143520834878,5.36772880427275,5.12869712805206,10.018,9.64705140972311,1.19160441011062,0.0149063712185445
"471",2019-08-13 10:20:00,2.41730118293169,-0.0136678725656458,3.26644237737855,5.36313943751082,5.12653085290805,10.193,9.5620294708811,1.15064511121351,0.0147591018134986
"472",2019-08-13 10:30:00,2.35838547246157,-0.0443612731460929,3.53181062540088,5.35950937727245,5.12461905662487,10.396,9.50886221258247,1.11884197565748,0.0146315007109647
"473",2019-08-13 10:40:00,2.30181128196622,-0.0719330096892955,3.78703468384589,5.35604394382513,5.12283230171563,10.561,9.44329076200667,1.08892328512706,0.0145142034669845
"474",2019-08-13 10:50:00,2.24839206800776,-0.095755463191745,4.03162859858593,5.35251431127768,5.12063958463771,10.702,9.38436927098348,1.05905225107769,0.0143727778288476
"475",2019-08-13 11:00:00,2.24893290533352,-0.119629626961894,4.26512665562222,5.35217754037928,5.1199065038344,10.812,9.30997345157975,1.05640857546615,0.0143261035385252
"476",2019-08-13 11:10:00,2.20187213432726,-0.141715430236703,4.48708426751588,5.34968691657153,5.11923912365149,10.984,9.2635429827754,1.03535862299474,0.014283873270386
"477",2019-08-13 11:20:00,2.17212260253112,-0.160089494416642,4.6970788200046,5.34749764484613,5.11756674621322,11.131,9.19809283256727,1.01744156447093,0.0141791277818063
"478",2019-08-13 11:30:00,2.11927544490896,-0.175736930022124,4.8947104766018,5.34409924163296,5.11561976709931,11.28,9.1356508091012,0.989800604957657,0.0140590917698451
"479",2019-08-13 11:40:00,2.09475679625102,-0.18954326932842,5.0796029400698,5.34195788601546,5.11353018600661,11.385,9.06390782807175,0.972945112282937,0.0139324954390929
