"","code","MinFrom0","SpC_corr","DOC_conc","Delta.13C","AF_corr","doc_13C","delCO2","co2AF_corr","DIC13","removed_c"
"32","b_g1_up",200,5.25,4.8,21.672,0.000506615948315695,0.00243175655191534,-11.5278625206458,0.000106380216535286,0.0072189614940845,0.00506824344808466
"33","b_g1_up",210,3.25,3.57,29.29,0.000590281580262341,0.00210730524153656,-11.8997797105,0.000102292212112099,0.00694154951392704,0.00253555190132058
"34","b_g1_up",220,0.25,5.14,3.914,0.000311531512660062,0.00160127197507272,-11.977532454,0.00010143757254044,0.00688355367259424,-0.00124412911792986
"35","b_g1_down",75,0,2.22,-15.117,0,0,-22.06165320168,-1.02515060632843e-05,-0.000695667201454476,0
"36","b_g1_down",80,2,2.32,8.123,0.000255400604249284,0.000592529401858338,-20.19674624982,1.02512935689306e-05,0.000695652781587633,0.00226461345528452
"37","b_g1_down",85,5,2.11,59.303,0.00081738856734081,0.00172468987708911,-19.338998162875,1.96810964646667e-05,0.00133555920609228,0.00541816726576803
"38","b_g1_down",90,11,2.13,131.923,0.00161370555324538,0.00343719282841266,-16.6311071912708,4.94495874352897e-05,0.00335564900335876,0.0122770928858731
"39","b_g1_down",93,15,2.8,105.461,0.00132368428706064,0.00370631600376979,-14.73783286075,7.02617391313606e-05,0.00476796161745413,0.0177222554248016
"40","b_g1_down",96,22,2.24,286.06,0.00329965441631661,0.00739122589254921,-15.014020443,6.72257530314226e-05,0.00456193960071234,0.0240373455360222
"41","b_g1_down",99,26,2.09,264.691,0.00306626435278619,0.00640849249732313,-11.23944172178,0.000108716115805501,0.00737747561856127,0.030734364645534
"42","b_g1_down",102,30,2.12,310.074,0.00356180108748711,0.00755101830547267,-9.81449025920625,0.00012437835022217,0.00844031484607648,0.0353061245516702
"43","b_g1_down",105,35,2.12,353.319,0.0040335297857493,0.00855108314578853,-7.80487302508333,0.00014646604629519,0.00993918590159156,0.0414489168542115
"44","b_g1_down",108,38,2.15,442.461,0.00500449244348189,0.0107596587534861,-5.70949106599792,0.000169495331543031,0.0115019531985101,0.0435260555322282
"45","b_g1_down",115.25,47,2.53,416.344,0.00472021619334962,0.0119421469691745,-3.14966732362,0.000197627606541451,0.0134110093799029,0.0552007101736826
"46","b_g1_down",120,50,2.11,474.349,0.00535136186450014,0.0112913735340953,-1.411663087946,0.000216727233260756,0.0147071100490749,0.0601371978944761
"47","b_g1_down",125,52,2.12,537.823,0.00604108830579855,0.0128071072082929,-1.37034104433333,0.000217181328818589,0.0147379249736294,0.0614786070774214
"48","b_g1_down",134,52,2,441.298,0.00499183700647919,0.00998367401295838,1.04858792757938,0.000243762658666123,0.0165417340170831,0.0643020402727559
"49","b_g1_down",139,52,2.01,354.502,0.00404642793860301,0.00813332015659205,1.86331159245208,0.000252715240799966,0.0171492562406857,0.0661523941291222
"50","b_g1_down",149,49,2.09,247.357,0.00287686295271561,0.00601264357117563,2.17889282568333,0.000256182958195225,0.017384575543128,0.0639873564288244
"51","b_g1_down",159,44,2.11,197.013,0.00232636223261116,0.00490862431080955,1.57652770884792,0.000249563937700219,0.0169354088123369,0.0579485185463333
"52","b_g1_down",169,39,2.12,97.316,0.00123438148838329,0.00261688875537257,1.15624400357688,0.000244945645581524,0.0166220115091622,0.0530973969589131
"53","b_g1_down",189.5,26,2.14,57.748,0.000800323118241235,0.00171269147303624,-1.84010050490417,0.000212019030896004,0.0143876114366028,0.0354301656698209
"54","b_g1_down",209,16,2.1,30.652,0.000502861652649192,0.0010560094705633,-3.87357947171875,0.000189672027494177,0.0128711437857549,0.0218011333865796
"55","b_g1_down",229,9,2.03,26.863,0.000461251518427507,0.000936340582407839,-7.653400179148,0.000148130843837182,0.0100521590627912,0.011920802274735
"56","b_g1_down",249.5,3,2.04,8.146,0.000255653301990894,0.000521532736061424,-9.12434748653125,0.000131963818281894,0.00895506470860934,0.00376418154965286
"57","b_g1_down",269,-3,2.02,2.511,0.00019373849448924,0.000391351758868265,-10.8090291051458,0.0001134470122502,0.00769851425129857,-0.00467706604458255
"58","b_g1_down",289,-8,2.19,-4.355,0.000118287540628396,0.000259049713976187,-11.6212064386875,0.000104519896701981,0.00709272019019642,-0.0116876211425476
"59","b_g2_up",10,-0.988448844884488,1.86,1.101,4.68739919055744e-05,8.71856249443684e-05,-22.66397891,1.99199167886729e-06,0.000137248226673957,-0.00149925540335078
