time,white_co2,bela_co2,white_temp,bela_temp
8/10/19 10:30:00,2448.77,2159.39,18.31,19.89
8/10/19 10:40:00,2391.48,2079.14,18.38,20.02
8/10/19 10:50:00,2342.62,2013.06,18.51,20.12
8/10/19 11:00:00,2299.72,1974.27,18.67,20.29
8/10/19 11:10:00,2259.49,1922.62,18.93,20.57
8/10/19 11:20:00,2224.82,1872.43,19.16,20.93
8/10/19 11:30:00,2185.1,1837.58,19.41,21.2
8/10/19 11:40:00,2161.87,1795.76,19.59,21.44
8/10/19 11:50:00,2129.44,1769.43,19.8,21.61
8/10/19 12:00:00,2098.12,1737.32,20.12,21.89
8/10/19 12:10:00,2062.13,1718.74,20.44,22.23
8/10/19 12:20:00,2034.53,1693.69,20.76,22.53
8/10/19 12:30:00,2019.48,1659.99,21.06,22.84
8/10/19 12:40:00,1994.62,1628.65,21.38,23.16
8/10/19 12:50:00,1972,1607.23,21.71,23.43
8/10/19 13:00:00,1953.71,1593.7,22.1,23.79
8/10/19 13:10:00,1935.37,1586.5,22.42,24.04
8/10/19 13:20:00,1919.48,1565.76,22.69,24.26
8/10/19 13:30:00,1893.78,1564.38,23.01,24.61
8/10/19 13:40:00,1882.1,1554.91,23.26,24.8
8/10/19 13:50:00,1864.72,1540.4,23.52,25.02
8/10/19 14:00:00,1853.9,1533.06,23.77,25.31
8/10/19 14:10:00,1830.66,1531.87,24.02,25.56
8/10/19 14:20:00,1822.96,1535.12,24.22,25.81
8/10/19 14:30:00,1823.26,1533.78,24.28,25.82
8/10/19 14:40:00,1826.3,1518.24,24.45,26
8/10/19 14:50:00,1817.35,1527.14,24.5,26.23
8/10/19 15:00:00,1813.72,1534.4,24.5,26.39
8/10/19 15:10:00,1823.68,1540.77,24.46,26.49
8/10/19 15:20:00,1821.57,1545.83,24.37,26.6
8/10/19 15:30:00,1844.02,1551.36,24.29,26.7
8/10/19 15:40:00,1851.41,1551.67,24.25,26.76
8/10/19 15:50:00,1881.35,1557.14,24.16,26.86
8/10/19 16:00:00,1906.07,1585.04,24.12,26.86
8/10/19 16:10:00,1928.65,1582.23,24.08,26.83
8/10/19 16:20:00,1951.32,1606.65,24.01,26.83
8/10/19 16:30:00,1970.02,1625.86,24.01,26.78
8/10/19 16:40:00,1978.34,1631.12,24.06,26.75
8/10/19 16:50:00,1966.85,1645.04,24.12,26.67
8/10/19 17:00:00,1970.24,1647.22,24.2,26.54
8/10/19 17:10:00,1976.19,1644.92,24.25,26.36
8/10/19 17:20:00,1986.58,1652.58,24.21,26.21
8/10/19 17:30:00,1983.76,1662.72,24.16,26.08
8/10/19 17:40:00,1991.29,1676.53,24.07,25.98
8/10/19 17:50:00,1992.87,1689.26,23.93,25.86
8/10/19 18:00:00,1999.14,1690.91,23.81,25.75
8/10/19 18:10:00,2004.95,1694.18,23.68,25.63
8/10/19 18:20:00,2026.83,1710.47,23.52,25.53
8/10/19 18:30:00,2050.22,1714.71,23.39,25.45
8/10/19 18:40:00,2067.47,1740.62,23.28,25.36
8/10/19 18:50:00,2097.51,1753.72,23.14,25.25
8/10/19 19:00:00,2124.18,1785.77,22.99,25.15
8/10/19 19:10:00,2189.92,1818.67,22.85,25.03
8/10/19 19:20:00,2232.16,1896.26,22.71,24.87
8/10/19 19:30:00,2303.22,1959.53,22.55,24.73
8/10/19 19:40:00,2359.02,2047.07,22.4,24.62
8/10/19 19:50:00,2435.48,2125.65,22.25,24.49
8/10/19 20:00:00,2523.55,2228.36,22.12,24.35
8/10/19 20:10:00,2614.15,2325.74,21.97,24.22
8/10/19 20:20:00,2715.14,2439.7,21.72,23.98
8/10/19 20:30:00,2773.56,2457.54,21.46,23.66
8/10/19 20:40:00,2860.6,2457.15,21.24,23.31
8/10/19 20:50:00,2933.5,2477.83,20.99,23.03
8/10/19 21:00:00,2996.04,2539.67,20.78,22.89
8/10/19 21:10:00,3034.55,2658.25,20.61,22.8
8/10/19 21:20:00,3077.41,2776.07,20.42,22.67
8/10/19 21:30:00,3137.82,2864.39,20.25,22.48
8/10/19 21:40:00,3210.36,2946.56,20.11,22.29
8/10/19 21:50:00,3294.31,3027.97,20,22.12
8/10/19 22:00:00,3385.93,3127.93,19.89,21.99
8/10/19 22:10:00,3474.74,3186.08,19.77,21.86
8/10/19 22:20:00,3565.91,3274.65,19.69,21.76
8/10/19 22:30:00,3633.94,3356.12,19.61,21.64
8/10/19 22:40:00,3710.8,3425.38,19.51,21.54
8/10/19 22:50:00,3779.27,3473.81,19.41,21.46
8/10/19 23:00:00,3839.39,3542.71,19.35,21.33
8/10/19 23:10:00,3888.53,3591.62,19.27,21.25
